Name,Industry,Symbol,LTP,SMA50,SMA200,RSI(14),"MACD(12,26,9)","Stochastic(20,3)",MFI(14),ADX(14),P/E,Debt to Equity,EPS(Rs),BVPS(Rs),Net Profit(Rs. Cr),DPS(Rs),NPM_per,ROE_per,YTD_per,1 Week_per,1 Month_per,3 Months_per ,6 Months_per ,1 Year_per,2 Years_per,3 Years_per
ACC,Construction Materials,ACC.NS,2465.6,2408.91,2238.99,58.53,28.18,83.68,67.45,23.13,0,0,96.93,756.87,1851,58,0,12.79,11.28,1.12,9.89,8.55,12.27,-1.09,47.81,65.97
Adani Enterpris,Metals & Mining,ADANIENT.NS,3956.6,3524.94,2527.96,71.37,183.72,83.98,84.65,39.97,307.6,0.81,6.55,47.65,475,1,0,13.75,131.45,-1.02,23.28,32.96,87.88,131.16,965.75,1843.32
Adani Green Ene,Power,ADANIGREEN.NS,2110.15,2197.46,2148.53,45.27,-1.07,20.76,69.93,26.6,-2519.34,7.62,-0.76,14.51,424,0,0,-2.51,58.63,-4.76,3.79,-4.87,-7.52,60.55,109.22,2109.58
Adani Ports,Services,ADANIPORTS.NS,887.35,858.29,781.17,60.45,17.68,77.17,80.26,28.23,549.08,1.68,1.41,125.84,4602,5,0,1.11,21.5,-0.39,13.75,7.67,24.54,18.88,142.38,142.25
Adani Total Gas,Oil Gas & Consumable Fuels,ATGL.NS,3809.65,3483.25,2681.21,63.3,135.98,87.19,70.41,30.44,468.37,0.43,4.59,22.09,504,0.25,0,20.76,121.26,0.38,25.02,9.17,59.5,131.06,1456.87,2499.56
Adani Trans,Power,ADANITRANS.NS,3271.15,3493.94,2776.82,45.38,-28.5,59.63,52.55,30.35,-893.64,2.15,-2.65,36.16,1235,0,0,-1.62,87.91,-0.57,7.77,-8.67,45.39,74.19,861.11,1116.27
Ambuja Cements,Construction Materials,AMBUJACEM.NS,577.2,518.99,398.06,65.5,19.58,81.83,78.2,26.76,0,0,10.48,111.84,3690,6.3,0,9.36,52.9,2.25,15.01,45.72,56.85,40.85,122.86,187.16
Apollo Hospital,Healthcare,APOLLOHOSP.NS,4479.25,4397.6,4277.62,53.96,32.3,57.75,59.55,13.87,97.65,0.33,46.25,425,1101,11.75,0,10.88,-10.65,2.71,4.24,2.99,21.5,-12.12,96.06,220.58
Asian Paints,Consumer Durables,ASIANPAINT.NS,3083.05,3263.21,3116.06,41.74,-51.74,23.06,34.16,22.95,94.25,0,32.68,139.17,3053,19.15,0,23.48,-8.87,-0.11,-3.22,-11.94,2.77,-2.18,41.13,75.1
Avenue Supermar,Consumer Services,DMART.NS,4011.7,4309.89,4054.94,28.42,-65.86,2.48,24.86,22.7,160.45,0.03,24.95,214.95,1492,0,0,11.6,-14.12,-3.53,-6.84,-8.87,12.65,-21.05,68.97,114.43
Axis Bank,Financial Services,AXISBANK.NS,855.4,811.71,742.91,53.84,13.49,40.45,53.56,21.87,17.92,0,42.48,374.71,14164,1,19.33,11.32,26.06,-2.09,6.86,11.87,33.88,17.8,39.51,19.32
Bajaj Auto,Automobile and Auto Components,BAJAJ-AUTO.NS,3747.45,3696.02,3727.61,55.43,19.33,69.4,77.53,16.71,21.04,0,173.6,921.62,5586,140,0,18.81,15.33,0.21,4.96,-8.4,0.85,3.84,23.19,16.55
Bajaj Finance,Financial Services,BAJFINANCE.NS,6895.05,7253.89,6728.34,38.13,-70.85,6.66,29.5,22.62,78.21,2.78,65.85,597.39,4419,10,0,11,-1.18,-3.48,-5.19,-5.37,22.14,-8.74,57.61,64.65
Bajaj Finserv,Financial Services,BAJAJFINSV.NS,1685.65,1713.33,1514.51,46.65,6.29,32.83,66.97,12.17,863.27,0,11.2,238.84,7367,3,0,4.7,2.74,-3.83,-0.16,5.91,33.2,-7.43,129.79,86.1
Bajaj Holdings,Financial Services,BAJAJHLDNG.NS,6666.85,6627.01,5491.98,51.84,48.32,47.07,79.25,17.98,185,0,17.8,1259.48,208,40,0,1.41,22.73,-3.02,1.08,24.94,35.85,36.13,146.27,79.21
Bandhan Bank,Financial Services,BANDHANBNK.NS,224.55,264.9,292.3,30.77,-12.3,8.15,30.36,36.64,394.1,0,0.78,107.91,-,0,0.9,0.72,-11.14,-1.79,-15.41,-19.92,-33.65,-29.01,-34.64,-59.9
Bank of Baroda,Financial Services,BANKBARODA.NS,163.3,141.26,116.85,68.5,7.39,83.38,73.77,33.78,7.94,0,14.06,167.57,7700,2.85,10.4,8.38,99.27,-1.8,25.18,34.35,63.55,68.79,250.05,73.17
Berger Paints,Consumer Durables,BERGEPAINT.NS,608.55,619.91,648.13,51.58,-4.1,67.59,57.44,22.23,90.63,0.22,7.72,38.75,832,3.1,0,19.92,-21.15,3.37,-0.63,-10.53,-3.97,-23.04,-6.65,24.88
Bharat Elec,Capital Goods,BEL.NS,108.3,106.36,85.89,55.1,0.9,61.58,64.89,14.36,21.87,0,9.64,49.18,2354,4.5,0,19.6,54.76,0.23,7.44,10.6,43.22,49.17,236.34,192.07
BPCL,Oil Gas & Consumable Fuels,BPCL.NS,306.45,311.17,336,50.03,-0.15,77.31,55.31,18.78,8.7,0.49,41.31,233.25,10145,16,0,17.69,-20.5,-0.13,2.89,-11.41,-8.82,-27.02,-25.77,-39.5
Bharti Airtel,Telecommunication,BHARTIARTL.NS,841.2,791.74,725.66,66.88,13.52,96.22,75.35,23.46,-115.61,1.31,-6.53,141.2,-23327,3,0,-4.59,23.02,2.7,9.82,19.47,21.35,15.19,77.98,118.03
Biocon,Healthcare,BIOCON.NS,284.4,282.5,325.24,56.31,0.71,85.44,59.79,16.29,466.11,0.01,0.72,67.41,978,0.5,0,1.06,-22.01,1.86,8.84,-10.38,-11.1,-23,-34.52,10.55
Bosch,Automobile and Auto Components,BOSCHLTD.NS,16674.75,16364.42,15569.53,56.01,201.36,58.42,68.28,27.91,34.99,0,412.7,3623.02,1217,210,0,11.38,-3.73,-3.19,7.8,-7.59,26.23,-10.43,40.72,10.81
Britannia,Fast Moving Consumer Goods,BRITANNIA.NS,4131.5,3806.2,3560.91,68.93,99.29,80.71,79.16,27.98,48.17,0.91,66.56,99.73,1516,56.5,0,66.72,14.57,-1.05,8.83,11.95,25.77,11.94,17.13,29.29
Chola Invest.,Financial Services,CHOLAFIN.NS,707.15,745.75,701.71,40.78,-4.51,16.77,56.26,25.17,30.24,6.67,18.48,116.54,1521,2,0,15.84,35.89,-5.04,-2.68,-10.32,11.24,9.83,126.43,114.84
Cipla,Healthcare,CIPLA.NS,1121.2,1106.77,1008.24,47.29,4.06,14.54,38.72,20.22,27.8,0,36.62,279.05,2559,0,0,13.13,18.76,-0.73,1.11,8.38,20.12,21.64,50.35,142.03
Coal India,Oil Gas & Consumable Fuels,COALINDIA.NS,234.9,234.48,200.09,43.72,2.89,13.64,49.16,24.1,10.07,0,18.18,26.54,17387,17,0,68.47,60.84,-8.17,-0.61,5.38,36.81,47.69,84.82,16.78
Colgate,Fast Moving Consumer Goods,COLPAL.NS,1565.3,1597.01,1551.19,41.96,-3.91,11.21,55.92,15.85,38.9,0,39.65,63.78,435,19,0,62.16,5.67,-1.21,0.81,-0.14,-1,3.8,3.51,-0.86
Dabur India,Fast Moving Consumer Goods,DABUR.NS,550.05,553.02,544.21,49.37,1.09,60.98,62.07,13.72,66.12,0.09,8.11,33.17,1744,5.2,0,24.43,-5.17,-0.74,3.52,-5.1,10.72,-9.83,6.36,19.14
Divis Labs,Healthcare,DIVISLAB.NS,3289.8,3594.02,3906.17,34.87,-90.4,13.35,27.11,24.63,39.63,0,111.07,440.44,2960,30,0,25.21,-29.68,-0.27,-7.92,-11.85,-22.01,-32.21,-4.5,88.24
DLF,Realty,DLF.NS,401.25,380.14,361.18,62.76,8.44,82.63,73.91,22.55,70.58,0.14,5.39,110.01,843,3,0,4.9,2.77,1.06,11.86,5.83,22.58,-5.32,117.36,89.49
Dr Reddys Labs,Healthcare,DRREDDY.NS,4481,4336.66,4251.13,54.01,40.81,55.07,70.11,19.76,43.9,0.12,97.85,1101.94,2112,30,0,8.85,-8.68,-1.19,3.95,4.26,15.24,-6.99,-8.03,64.09
Eicher Motors,Automobile and Auto Components,EICHERMOT.NS,3503.05,3589.56,2955.83,41,-4.99,10.27,25.03,17.29,42.35,0,58.02,394.83,1616,21,0,14.69,35.15,-6.16,0.74,4.94,33.81,29.25,37.89,64.28
FSN E-Co Nykaa,Consumer Services,NYKAA.NS,184.45,205.95,239.5,44.45,-3.26,35.43,63.88,20.3,761.06,0.02,2.22,32.69,41,0,0,6.67,-47.34,4.37,-8.33,-20.92,-22.19,-50.52,0,0
GAIL,Oil Gas & Consumable Fuels,GAIL.NS,90.5,88.66,95.19,56.45,0.48,81.94,60.51,13.67,6.67,0.11,23.34,125.18,10541,10,0,18.64,5.07,2.14,6.35,0.48,-9.92,-6.77,45.19,9.21
Gland,Healthcare,GLAND.NS,1744.45,2095.05,2712.78,31.87,-113.88,14.61,25.48,39.75,44.32,0,73.84,435.68,1211,0,0,16.93,-54.86,-1.54,-19.24,-25.39,-43.89,-50.19,0,0
Godrej Consumer,Fast Moving Consumer Goods,GODREJCP.NS,845.8,866.81,820.64,52.59,-5.67,90.19,50.55,19.51,51.64,0,14.47,76.78,1783,0,0,18.83,-12.66,3.8,1.49,-4.95,6.08,-9.55,23.35,19.02
Grasim,Construction Materials,GRASIM.NS,1727.5,1716.01,1592.68,51.78,11.48,46.75,62.57,11.57,35.81,0.08,46.47,738.45,10825,10,0,6.27,6.49,-1.03,1.88,8.54,18.95,-5.25,106,128.76
Havells India,Consumer Durables,HAVELLS.NS,1232.55,1281.17,1226.7,48.25,-11,59.9,51.21,27.2,60.41,0.07,19.08,95.62,1196,7.5,0,19.94,-11.77,2.45,-1.67,-5.29,-0.28,-11.89,49.04,83.18
HCL Tech,Information Technology,HCLTECH.NS,1105.2,980.85,1034.76,78.82,32.76,94.17,78.53,40.09,29.02,0.01,40.1,156.87,13523,42,0,25.53,-16.22,4.91,10.24,15.34,5.81,-5,33.08,93.5
HDFC AMC,Financial Services,HDFCAMC.NS,2073.25,1988.21,2012.33,57.49,30.94,67.35,60.25,31.05,0,0,62.28,224.28,-,34,0,27.75,-15.24,-1.26,9.3,-4.96,17.73,-22.07,-15.43,-40.74
HDFC Bank,Financial Services,HDFCBANK.NS,1632.9,1478.43,1430.2,78.84,42.14,95.62,90.83,26.2,22.01,0,66.8,432.95,38151,15.5,28.93,15.39,10.38,8.26,13.47,8.7,25.12,5.48,19.22,27.78
HDFC Life,Financial Services,HDFCLIFE.NS,528.1,541.76,556.09,44.11,-1.12,14.87,35.42,12.36,103.45,0.05,6.73,55.37,1360,2.02,0,12.15,-18.7,-0.69,0.98,-7.45,-3.93,-25.99,-16.98,-8.55
Hero Motocorp,Automobile and Auto Components,HEROMOTOCO.NS,2739.45,2671.46,2621.61,61.72,19.49,93.84,66.58,17.36,18.53,0,123.78,789.94,2528,95,0,15.66,11.26,3.32,8.03,-2.75,9.76,-0.42,-12.08,7.72
Hindalco,Metals & Mining,HINDALCO.NS,447.4,410.49,448.99,61.63,11.64,83.65,74,19.43,16.38,0.35,34.76,245.17,13724,4,0,10.11,-5.92,7.26,12.65,4.31,14.44,0.4,113.76,138.3
Hindustan Aeron,Capital Goods,HAL.NS,2681.15,2453.45,1890.1,66.55,39.9,91.91,73.83,18.3,9.76,0,152.11,576.09,5080,40,0,26.4,121.46,7.14,14.73,16.71,67.53,87.57,245.4,233.35
HUL,Fast Moving Consumer Goods,HINDUNILVR.NS,2477.85,2580.33,2369.58,39.89,-31.99,20.85,45.52,22.21,54.59,0,37.53,207.49,8892,34,0,18.08,4.99,-1.23,-3.8,-6.3,11.75,2.96,13.26,20.42
HDFC,Financial Services,HDFC.NS,2697.2,2413.53,2335.64,78.35,78.14,95.64,85.68,27.91,36.86,4.06,67.77,603.02,13566,23,0,11.05,4.28,7.74,15.09,8.58,24.17,-9.35,16.7,21.27
ICICI Bank,Financial Services,ICICIBANK.NS,913.6,893.48,789.65,56.33,6.36,53.05,35.77,19.24,21.7,0,33.66,205.89,25784,5,27.02,13.68,23.43,0.34,4.98,3.91,33.76,19.57,87.64,82.77
ICICI Lombard,Financial Services,ICICIGI.NS,1131.35,1170.62,1236.77,39.66,-9.49,22.49,42.96,14.24,0,0.03,25.91,192.89,-,9,0,13.42,-19.26,-2.09,0.42,-12.7,-12.83,-25.57,-12.7,-18
ICICI Prudentia,Financial Services,ICICIPRULI.NS,475,529.71,523.45,28.07,-11.76,1.78,16.95,41.28,95.41,0.1,5.25,83.9,759,0.55,0,6.25,-15.3,-5.11,-7.47,-17.81,-5.06,-27.3,9.56,-9.08
IOC,Oil Gas & Consumable Fuels,IOC.NS,69.3,68.63,75.25,55.5,0.41,72.73,65.89,20.22,4.52,0.91,26.34,143,24491,11.4,0,18.42,-6.77,-0.36,4.52,-5.26,-14.86,-20.65,19.96,-21.07
INDUS TOWERS,Telecommunication,INDUSTOWER.NS,193.05,194.15,209.91,52.01,-0.29,71.83,60.04,16.25,9.4,0.25,23.62,82.29,6373,11,0,28.71,-22.25,0.1,2.09,-1.4,1.37,-34.8,6.45,-15.01
IndusInd Bank,Financial Services,INDUSINDBK.NS,1144.1,1167.36,993.39,47.14,-5.59,22.96,60.08,19.39,15.7,0,59.57,615.72,4805,8.5,14.96,9.66,28.82,-0.43,-3.17,5.5,29.15,12.07,48.5,-15.81
Info Edge,Consumer Services,NAUKRI.NS,4147.8,3982.23,4169.83,56.67,53.12,58.99,67.47,17.9,6.54,0,689.2,1085.59,10686,13,0,63.85,-25.62,6.82,10.22,-6.34,16.93,-36.51,6.78,57.2
Infosys,Information Technology,INFY.NS,1602.8,1473.6,1574.73,67.91,29.45,95.4,53.81,18.76,37.77,0,50.49,164.78,22146,31,0,30.63,-15.09,6.06,8.72,0.4,7.64,-10.57,41.41,127.7
Interglobe Avi,Services,INDIGO.NS,1770.9,1824.42,1849.16,47.26,-13.26,59.13,37.69,22.6,-12.57,-0.65,-160.25,-156.66,-6161,0,0,0,-12.23,3.03,1.08,-14.41,7.03,-25.1,9.66,20.83
IRCTC,Consumer Services,IRCTC.NS,728.15,724.36,711.18,44.61,6.4,11.54,62.84,26.66,0,0,8.3,23.55,-,3.5,0,35.22,-12.46,-4.35,0.73,8.98,11.38,-20.94,160.3,292.24
ITC,Fast Moving Consumer Goods,ITC.NS,344.1,339.32,284.45,48.23,3.69,37.81,52.31,25.5,20.51,0,12.22,49.82,15485,11.5,0,24.52,57.81,-4.6,3.61,10.8,35.42,46.15,82.45,37.28
JSW Steel,Metals & Mining,JSWSTEEL.NS,708.25,669.17,646.16,60.97,17.31,80.11,85.43,31.3,10.54,0.79,69.48,210.97,20021,17.35,0,26.3,7.97,0.24,10.62,5.1,17.59,6.52,107.12,189.38
Kotak Mahindra,Financial Services,KOTAKBANK.NS,1965.9,1877.61,1818.05,65.7,19.35,97.83,74.06,19.72,49.84,0,35.17,319.04,9903,0.9,25.94,11.01,9.45,3.83,7.19,6.47,8.44,-5.61,11.03,21.15
Larsen,Construction,LT.NS,2003.6,1933.37,1779.77,58.42,26.52,72.26,63.52,21.79,31.51,0.3,56.09,477.66,4668,22,0,11.74,5.68,0,4.81,8.37,29.86,2.47,89.16,45.44
L&T Infotech,Information Technology,LTI.NS,5048.05,4664.35,4938.08,63.14,115.91,61.24,74.57,23.65,47.66,0,129.14,480.17,2298,55,0,26.9,-31.15,4.36,8.13,3.3,23.28,-30.77,66.17,198.56
LIC India,Financial Services,LICI.NS,642.65,630.03,0,57.41,5.82,56.4,71.47,30.72,0,0,6.39,16.46,-71,1.5,0,38.84,0,1.8,4.87,-7.88,0,0,0,0
M&M,Automobile and Auto Components,M&M.NS,1286.7,1283.34,1055.72,47.85,7.66,44.16,50.33,17.67,19.54,0.17,41.28,325.6,5397,11.55,0,12.66,53.7,-3.8,4.58,-0.12,42.44,33.99,103.8,120.68
Marico,Fast Moving Consumer Goods,MARICO.NS,493.4,521.25,510.62,34.44,-6.37,2.8,40.56,18.07,55.84,0.03,9.02,23.64,1255,9.25,0,38.14,-3.75,-1.76,-3.54,-3.56,-0.44,-10.76,33.1,38.46
Maruti Suzuki,Automobile and Auto Components,MARUTI.NS,9134.95,8980.64,8338.64,52.78,75.73,45.25,63.87,22.69,60.65,0.01,124.68,1790.93,3717,60,0,6.96,23.01,-1.28,6.01,1.46,26.04,13.47,33.31,27.81
MphasiS,Information Technology,MPHASIS.NS,2036.45,2057.35,2519.12,50.8,-19.71,51.66,51.84,19.42,51.22,0.08,65.93,236.8,1430,46,0,27.77,-40.05,4.45,-3.29,-13.48,-17.82,-41.05,53.57,124.5
Muthoot Finance,Financial Services,MUTHOOTFIN.NS,1080.5,1046.2,1161.05,53.03,15.84,48.49,53.49,25.29,13,3.02,92.79,379.84,3818,20,0,24.42,-27.76,-3.35,6.44,3.88,-5.12,-34.99,-9.03,53.99
Nestle,Fast Moving Consumer Goods,NESTLEIND.NS,20097.9,19440.01,18358.92,53.31,210.95,53.78,43.36,21.51,0,0.02,222.46,216.19,-,200,0,102.89,1.99,-1.09,6.18,2.11,23.92,3.27,19.36,40.59
NTPC,Power,NTPC.NS,169.95,168.12,151.98,48.48,1.63,39.39,50.01,14.37,8.12,1.33,16.62,132.06,15940,7,0,12.58,36.62,-1.99,2.94,7.06,14.64,26.55,86.96,44.82
ONGC,Oil Gas & Consumable Fuels,ONGC.NS,142.9,132.54,148.67,71.83,2.81,97.44,89.73,28.53,5.12,0.03,32.04,188.51,47830,10.5,0,16.99,0.35,3.07,11.99,2.11,-6.91,-9.07,96.7,5.42
One 97 Paytm,Financial Services,PAYTM.NS,601.45,672.24,692.62,31.15,-14.74,1.8,38.21,13.99,-14.28,0,-37,211.29,-2350,0,0,-16.95,-54.93,-6.56,-11.75,-23.27,1.68,0,0,0
PI Industries,Chemicals,PIIND.NS,3379.25,3179.56,2876.76,57.41,85.43,51.67,62.64,42.34,52.19,0.04,54.03,397.28,840,6,0,13.57,11.37,-6.75,12.1,-0.32,40.7,15.63,44,135.51
Pidilite Ind,Chemicals,PIDILITIND.NS,2682.45,2713.23,2450.19,54.52,-4.01,71.33,55.2,22.27,98.33,0.02,24.96,126.24,1194,10,0,19.76,8.92,1.14,2.39,0.63,26.85,9.72,69.67,103.73
Power Grid Corp,Power,POWERGRID.NS,217.1,219.04,219.05,47.2,-0.34,27.7,57.75,18.05,8.85,1.77,24.51,109.17,16745,14.75,0,22.44,6.21,-0.75,2.09,-5.13,-7.7,15.72,53.97,54.26
P and G,Fast Moving Consumer Goods,PGHH.NS,14004.15,14157.07,14267.68,49.36,-36.75,50.93,38.78,13.83,0,0,200.79,220.05,-,235,0,91.25,-9.41,0.53,1.32,-4.48,5.45,-7.26,29.05,25.48
Reliance,Oil Gas & Consumable Fuels,RELIANCE.NS,2592.35,2495.64,2520.03,59.1,40.3,77.62,61.96,28.47,44.48,0.41,59.24,697.01,67565,8,0,8.28,9.47,-0.45,9.35,-2.22,6.8,2.96,29.47,77.92
MOTHERSON,Automobile and Auto Components,MOTHERSON.NS,72.15,73.23,85.69,57.87,0,81.18,90.08,31.25,41.88,0.17,3.33,68.47,1165,0.65,0,3.76,-51.53,5.64,3.96,-15.81,-10.34,-56.71,-16.75,-19.5
SBI Card,Financial Services,SBICARD.NS,811.05,882.8,840.44,37.88,-20.57,13.17,38.87,38.44,0,2.87,10.48,67.01,-,0,0,15.62,-12.62,-0.39,-4.23,-15.64,12.2,-24.94,2.72,0
SBI Life Insura,Financial Services,SBILIFE.NS,1254.9,1260.78,1172.12,50.56,2.11,63.76,58.12,16.27,0,0,14.56,131.26,-,2.5,0,11.09,4.92,-0.7,6.37,-4.18,20.13,8.84,49.31,25.13
Shree Cements,Construction Materials,SHREECEM.NS,23253.75,22140.69,22310.54,61.01,428.6,85.47,77.48,24.52,35.94,0.12,668.69,4786.83,2336,90,0,13.76,-13.83,0.75,9.75,8.46,5.79,-17.36,-0.47,19.06
Siemens,Capital Goods,SIEMENS.NS,2880.1,2870.65,2567.91,50.5,16.93,51.94,72.72,20.44,0,0,30.97,290.55,1050,8,0,10.66,21.97,-1.24,4.87,-1.21,25.23,22.4,110.34,82.77
SRF,Chemicals,SRF.NS,2369.45,2555.71,2436.05,38.13,-46.05,15.4,20.98,18.73,52.68,0.36,50.86,256.35,1888,16.75,0,19.76,-2.09,-0.91,-5.09,-4.99,5.62,8.19,130.7,268.42
SBI,Financial Services,SBIN.NS,599.75,559.72,510.25,61.94,14.79,70.35,68.97,29.35,13.91,0,35.49,313.84,43775,7.1,11.49,11.3,30.25,-2.57,13.76,14.03,31.81,21.14,161.16,86.32
Sun Pharma,Healthcare,SUNPHARMA.NS,1018.65,954.81,897.66,60.52,18.16,50.61,59.09,43.32,-2286.88,0.2,-0.4,102.48,3405,10,0,-0.4,20.45,0.5,4.34,11.38,15.02,27.58,98.18,145.43
TCS,Information Technology,TCS.NS,3355.35,3135.55,3370.47,70.92,54.39,95.23,62.46,16.72,35.84,0,104.34,210.86,38449,43,0,49.48,-10.25,4.33,8.27,-1.1,-0.64,-5.65,25.65,54.31
TATA Cons. Prod,Fast Moving Consumer Goods,TATACONSUM.NS,769.55,785.39,764.23,48.22,-2.56,49.24,58.09,12.31,80.89,0,9.61,127.62,1078,6.05,0,7.53,3.51,-0.08,1.09,-1.28,4.63,-7.66,49.09,158.46
Tata Motors,Automobile and Auto Components,TATAMOTORS.NS,431.55,419.39,436.99,57.03,4.94,79.94,77.7,16.16,-119.49,1.16,-3.63,52.08,-11234,0,0,-6.97,-10.54,-0.37,8.91,-11.9,6.46,-16.86,189.92,156.04
Tata Power,Power,TATAPOWER.NS,224.6,226.98,230.97,47.69,1.31,46.2,72.87,19.43,23.7,2.27,10.07,34.05,212,1.75,0,25.57,1.65,-2.92,4.03,-4.83,-0.88,-8.14,301.43,312.11
Tata Steel,Metals & Mining,TATASTEEL.NS,106.55,103.24,109.97,57.6,1.51,69.87,59.53,14.4,4.84,0.29,270.33,1026.15,41100,51,0,26.31,-4.14,0.42,6.44,-5.71,-3.44,-13.29,116.48,170.09
Tech Mahindra,Information Technology,TECHM.NS,1066.85,1050.51,1184.86,55.3,4.7,65.92,63.97,12.11,29.7,0,50.48,265.99,5630,45,0,19,-40.42,3.71,4.61,-1.01,-10.28,-33.32,26.98,41.88
Titan Company,Consumer Durables,TITAN.NS,2644.3,2658.05,2420.9,46.11,5.62,30.03,55.95,15.84,103.26,0.02,24.56,105.57,2198,7.5,0,23.25,4.83,-2.72,1.01,6.03,25.35,4.45,105.49,128.26
Torrent Pharma,Healthcare,TORNTPHARM.NS,1619,1575.65,1454.8,49.15,22.05,32.98,71.54,28.72,47.65,0.53,58.59,373.29,777,48,0,15.61,-1.23,-1.98,1.5,2.88,25.44,16.1,18.69,81.69
UltraTechCement,Construction Materials,ULTRACEMCO.NS,6912,6507.39,6382.58,64.25,146.75,81.73,72.42,31.92,26.95,0.2,245,1706.82,7332,38,0,14.34,-8.95,0.12,11.63,3.85,14.95,-12.31,40.83,69.52
United Spirits,Fast Moving Consumer Goods,MCDOWELL-N.NS,888.7,853.97,833.83,56.7,12.85,74.41,58.44,20.59,83.89,0,10.59,67.47,810,0,0,15.7,-1.06,1.37,7.92,9.53,9.59,-4.97,59.9,42.31
UPL,Chemicals,UPL.NS,767.5,713.43,738.95,66.64,18.7,85.18,75.3,32.83,50.01,0.2,15.39,107.2,4303,10,0,14.33,2.73,1.84,13.15,-2.67,-4.33,-1.61,78.8,44.73
Vedanta,Metals & Mining,VEDL.NS,311.95,285.47,312.49,60.26,9.33,75.15,61.87,29.53,8.7,0.47,46.36,208.73,23709,45,0,22.2,-8.57,1.41,8.37,18.84,8.64,-6.25,188.71,119.53
Wipro,Information Technology,WIPRO.NS,398.25,396.96,470.06,55.97,0.34,74.54,62.61,19.65,26.66,0.14,22.2,99.14,12237,6,0,22.32,-44.33,1.87,5.55,-8.89,-14.9,-39.79,15.28,57.69
Zomato,Consumer Services,ZOMATO.NS,68.7,63.45,68.41,58.38,1.69,53.77,74.95,21.48,-54.14,0,-1.52,21.94,-1222,0,0,-6.54,-50,5.21,10.99,6.93,21.81,-56.41,0,0
